vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,repetition,energy_j,throughput,j_per_token,tpot_ms,completion_tok,kgco2eq
fp16,1,512,B,1,931.7111619000001,53.76640333333333,4.856790372234848,18.607666666666667,188.33333333333334,7.608974488849999e-05
fp16,1,512,B,2,939.0522058333333,52.84056333333333,4.899070521716336,18.937666666666665,188.33333333333334,7.668926347638888e-05
fp16,1,512,B,3,923.4686217,54.013796666666664,4.808585432898925,18.521333333333335,188.33333333333334,7.54166041055e-05
fp16,1,512,C,1,1787.2196664333335,48.78902333333333,5.68403715805359,20.622,319.26666666666665,0.00014595627275872222
fp16,1,512,C,2,1769.2720091666667,49.88558333333333,5.614065672064317,20.156,319.26666666666665,0.0001444905474152778
fp16,1,512,C,3,1773.8135197333334,49.76336,5.636884331100083,20.209666666666667,319.26666666666665,0.0001448614374448889
fp16,4,64,A,1,263.0467822857143,195.9335,1.046142702938988,5.112857142857143,252.0,2.1482153886666666e-05
fp16,4,64,A,2,265.5266525714286,196.57317142857144,1.0543406381970553,5.095714285714286,252.0,2.1684676626666667e-05
fp16,4,64,A,3,256.41524,197.2149142857143,1.0187206767406798,5.078571428571428,252.0,2.094057793333333e-05
fp16,4,64,B,1,355.00591457142855,163.36190000000002,1.3867418537946428,6.121428571428572,256.0,2.8992149689999995e-05
fp16,4,64,B,2,346.19473114285717,162.3568285714286,1.3523231685267858,6.159999999999999,256.0,2.8272569709999997e-05
fp16,4,64,B,3,352.751589,161.60918571428573,1.37793589453125,6.187142857142858,256.0,2.8808046435000003e-05
fp16,4,64,C,1,854.3985882857143,91.50524285714286,3.3374944854910713,10.928571428571429,256.0,6.977588470999999e-05
fp16,4,64,C,2,848.6315467142857,91.28464285714287,3.3149669793526786,10.955714285714285,256.0,6.930490964833333e-05
fp16,4,64,C,3,857.6913157142857,91.4681,3.3503567020089284,10.934285714285716,256.0,7.004479078333333e-05
fp16,4,256,A,1,1174.6858960000002,184.82485714285713,1.349173087727918,5.478571428571429,879.8571428571429,9.593268150666667e-05
fp16,4,256,A,2,1183.007740142857,181.8458,1.3611962904363355,5.577142857142857,879.8571428571429,9.661229877833332e-05
fp16,4,256,A,3,1180.4707882857144,180.88107142857143,1.3561469426361992,5.597142857142857,879.8571428571429,9.640511437666668e-05
fp16,4,256,B,1,1032.8219922857143,156.64648571428572,1.5948851234254318,6.467142857142856,660.5714285714286,8.434712937e-05
fp16,4,256,B,2,1032.1669825714287,157.31364285714287,1.602677037166421,6.435714285714285,660.5714285714286,8.429363691e-05
fp16,4,256,B,3,1031.7631758571429,157.37541428571427,1.5961187352827828,6.438571428571429,660.5714285714286,8.426065936166666e-05
fp16,4,256,C,1,1876.025289857143,128.26590000000002,2.246798237767623,7.891428571428571,847.2857142857143,0.000153208732005
fp16,4,256,C,2,1857.2059468571429,129.952,2.229407139510901,7.795714285714285,847.2857142857143,0.00015167181899333333
fp16,4,256,C,3,1853.9235355714284,130.23648571428572,2.2219759641218872,7.781428571428571,847.2857142857143,0.00015140375540500001
fp16,4,512,A,1,1861.489057142857,153.80722857142857,1.709148920104387,6.6657142857142855,1100.2857142857142,0.00015202160633333333
fp16,4,512,A,2,1860.7293347142856,153.58792857142856,1.7083914895995576,6.67,1100.2857142857142,0.000151959562335
fp16,4,512,A,3,1882.9772090000001,151.10001428571428,1.7290725552713737,6.795714285714285,1100.2857142857142,0.00015377647206833334
fp16,4,512,B,1,1504.223143,136.91642857142855,1.9092478887732887,7.454285714285715,753.1428571428571,0.00012284489001166665
fp16,4,512,B,2,1526.0422445714285,129.89431428571427,1.9312769510439924,7.864285714285714,753.1428571428571,0.00012462678330666665
fp16,4,512,B,3,1492.8559182857146,139.42304285714286,1.888093142760052,7.32,753.1428571428571,0.00012191656665999999
fp16,4,512,C,1,3061.2842705714284,118.95137142857142,2.379454187261825,8.620000000000001,1338.5714285714287,0.00025000488209666667
fp16,4,512,C,2,3031.604694,123.10841428571429,2.3570400040387747,8.331428571428571,1338.5714285714287,0.00024758105000999997
fp16,4,512,C,3,3003.5152431428573,123.9337857142857,2.334271348079533,8.277142857142858,1338.5714285714287,0.00024528707819
fp16,8,64,A,1,326.198932,357.99853333333334,0.649445129202178,2.796666666666667,502.6666666666667,2.6639579446666664e-05
fp16,8,64,A,2,287.42809033333333,360.1338333333333,0.5727846659618199,2.776666666666667,502.6666666666667,2.3473294043888885e-05
fp16,8,64,A,3,305.34090199999997,350.52096666666665,0.606446746916968,2.856666666666667,502.6666666666667,2.4936173663333337e-05
fp16,8,64,B,1,525.425581,251.25833333333333,1.026221837890625,3.9800000000000004,512.0,4.290975578166666e-05
fp16,8,64,B,2,509.80806533333333,268.6593,0.9957188776041667,3.72,512.0,4.1634325335555555e-05
fp16,8,64,B,3,513.2811023333334,267.8036666666667,1.0025021529947917,3.736666666666667,512.0,4.191795669055556e-05
fp16,8,64,C,1,1556.9175186666669,113.0349,3.0408545286458337,8.843333333333334,512.0,0.00012714826402444445
fp16,8,64,C,2,1546.6718053333334,113.61756666666668,3.020843369791667,8.803333333333335,512.0,0.00012631153076888887
fp16,8,64,C,3,1538.1168623333333,115.25653333333332,3.0041344967447916,8.68,512.0,0.00012561287709055556
fp16,8,256,A,1,1267.236357,353.4445666666666,0.7246211040710628,2.83,1750.0,0.00010349096915499999
fp16,8,256,A,2,1270.9133786666666,353.48866666666663,0.7265911367061869,2.83,1750.0,0.00010379125925777777
fp16,8,256,A,3,1251.19373,353.85493333333335,0.7153953726352152,2.8266666666666667,1750.0,0.00010218082128333332
fp16,8,256,B,1,1374.8157963333333,242.68449999999999,1.1063820005378318,4.156666666666666,1246.3333333333333,0.00011227662336722223
fp16,8,256,B,2,1369.79411,244.65013333333334,1.1026448013187389,4.123333333333333,1246.3333333333333,0.00011186651898333332
fp16,8,256,B,3,1377.9654326666666,244.51486666666665,1.1093511803924772,4.126666666666667,1246.3333333333333,0.00011253384366777777
fp16,8,256,C,1,2715.0569616666667,197.20783333333335,1.6001363953865957,5.09,1705.3333333333333,0.00022172965186944443
fp16,8,256,C,2,2726.839079,198.55436666666665,1.6087330027342333,5.0633333333333335,1705.3333333333333,0.00022269185811833332
fp16,8,256,C,3,2747.912958333333,191.37476666666666,1.620497428072226,5.25,1705.3333333333333,0.0002244128915972222
fp16,8,512,A,1,2165.094368666667,275.4408,0.9812885709182769,3.7433333333333336,2197.0,0.00017681604010777777
fp16,8,512,A,2,2159.797345,276.7133333333333,0.9787565030010383,3.736666666666667,2197.0,0.00017638344984166666
fp16,8,512,A,3,2159.443894,274.66423333333336,0.9781790587187765,3.75,2197.0,0.00017635458467666666
fp16,8,512,B,1,1993.0134623333333,195.4487,1.4150730357741919,5.323333333333333,1375.6666666666667,0.00016276276609055557
fp16,8,512,B,2,1982.647111666667,203.8646666666667,1.4052490559503648,5.11,1375.6666666666667,0.0001619161807861111
fp16,8,512,B,3,1961.0040903333331,203.56033333333335,1.3875268697947025,5.116666666666666,1375.6666666666667,0.0001601486673772222
fp16,8,512,C,1,4144.974650666666,196.66226666666668,1.5761598103942553,5.263333333333333,2728.6666666666665,0.00033850626313777776
fp16,8,512,C,2,4211.576851666667,188.6681,1.601325607778356,5.476666666666667,2728.6666666666665,0.00034394544288611105
fp16,8,512,C,3,4174.481862333333,196.0266333333333,1.58799370392337,5.273333333333333,2728.6666666666665,0.0003409160187572222
int4_awq,1,64,A,1,107.09024206666666,105.35061666666667,1.8978398344707552,9.522666666666668,58.7,8.74570310211111e-06
int4_awq,1,64,A,2,109.05893853333333,104.26617,1.9379489658386897,9.667333333333334,58.7,8.906479980222222e-06
int4_awq,1,64,A,3,107.255077,105.40315000000001,1.9160388218505546,9.532333333333334,58.7,8.759164621666666e-06
int4_awq,1,64,B,1,126.2737069,93.73800666666666,1.9730266703125,10.670333333333334,64.0,1.0312352730166666e-05
int4_awq,1,64,B,2,125.65069336666667,93.86546333333334,1.9632920838541668,10.655666666666667,64.0,1.026147329161111e-05
int4_awq,1,64,B,3,123.67534413333333,93.82364666666666,1.9324272520833332,10.663333333333332,64.0,1.0100153104222222e-05
int4_awq,1,64,C,1,206.5518195,62.643566666666665,3.4935735864425506,16.325333333333333,61.266666666666666,1.6868398592499998e-05
int4_awq,1,64,C,2,211.16753796666666,62.742533333333334,3.553175413494318,16.300666666666665,61.266666666666666,1.7245348933944444e-05
int4_awq,1,64,C,3,206.3068236,62.90082666666667,3.4708238961963382,16.256333333333334,61.266666666666666,1.6848390594e-05
int4_awq,1,256,A,1,332.25753986666666,113.19618,2.071607959627236,8.959333333333332,166.56666666666666,2.7134365755777775e-05
int4_awq,1,256,A,2,334.7565943,112.7391,2.0733979539106975,8.961666666666668,166.56666666666666,2.7338455201166665e-05
int4_awq,1,256,A,3,334.1561443333333,113.48942333333333,2.0701480517888604,8.898666666666665,166.56666666666666,2.7289418453888886e-05
int4_awq,1,256,B,1,367.46784116666663,111.57459999999999,2.024557344598985,8.984333333333332,179.73333333333332,3.0009873695277774e-05
int4_awq,1,256,B,2,370.5688958666667,110.50178666666667,2.029504480889773,9.067,179.73333333333332,3.0263126495777775e-05
int4_awq,1,256,B,3,373.9150262333333,110.96292,2.056840236595033,9.027,179.73333333333332,3.0536393809055556e-05
int4_awq,1,256,C,1,542.0672142,89.60545,3.054382542824565,11.956666666666667,194.1,4.4268822492999995e-05
int4_awq,1,256,C,2,549.5569825666666,88.39218333333334,3.0786771141197837,12.126666666666667,194.1,4.4880486909611104e-05
int4_awq,1,256,C,3,549.5314214666666,88.58775,3.0773181745385,12.077,194.1,4.4878399419777776e-05
int4_awq,1,512,A,1,424.9077194,112.52053666666667,2.1046332613482095,9.143666666666666,205.46666666666667,3.4700797084333334e-05
int4_awq,1,512,A,2,428.86230496666667,113.89539333333333,2.127846754660838,8.869666666666665,205.46666666666667,3.502375490561111e-05
int4_awq,1,512,A,3,426.16836486666665,113.44195666666666,2.1220539732804413,8.921,205.46666666666667,3.480374979744444e-05
int4_awq,1,512,B,1,444.8781492666667,110.40741,2.0620980705989984,9.092666666666666,209.8,3.6331715523444444e-05
int4_awq,1,512,B,2,444.9537117,111.18705666666666,2.059412613128076,9.014666666666667,209.8,3.63378864555e-05
int4_awq,1,512,B,3,442.2921420666667,111.40638666666668,2.0423997606239355,8.997333333333334,209.8,3.6120524935444444e-05
int4_awq,1,512,C,1,845.8036780333333,92.76198333333333,3.0301273349270854,11.698666666666666,311.6333333333333,6.907396703938888e-05
int4_awq,1,512,C,2,840.4783328666667,92.46179333333333,3.034405816063225,11.756666666666666,311.6333333333333,6.863906385077778e-05
int4_awq,1,512,C,3,844.9302409333334,92.60785,3.0312835437802397,11.700666666666667,311.6333333333333,6.900263634288888e-05
int4_awq,4,64,A,1,132.27839585714287,338.5902714285714,0.5542626402164598,2.9699999999999998,239.85714285714286,1.0802735661666668e-05
int4_awq,4,64,A,2,134.275338,336.8224,0.5623958061822394,2.9842857142857144,239.85714285714286,1.0965819269999998e-05
int4_awq,4,64,A,3,130.94769085714285,341.24744285714286,0.548939062147118,2.9499999999999997,239.85714285714286,1.069406142e-05
int4_awq,4,64,B,1,216.700189,257.93565714285717,0.84648511328125,3.882857142857143,256.0,1.7697182101666666e-05
int4_awq,4,64,B,2,210.27033314285717,257.7323571428571,0.8213684888392858,3.8814285714285717,256.0,1.7172077206666666e-05
int4_awq,4,64,B,3,202.72723785714285,260.66485714285716,0.7919032728794643,3.8385714285714285,256.0,1.6556057758333332e-05
int4_awq,4,64,C,1,758.6111727142858,108.83058571428572,3.1200157062910656,9.241428571428571,244.28571428571428,6.195324577166666e-05
int4_awq,4,64,C,2,771.0286345714286,108.53035714285714,3.170878658468815,9.287142857142857,244.28571428571428,6.296733849e-05
int4_awq,4,64,C,3,755.218375,109.54737142857142,3.114821569419334,9.180000000000001,244.28571428571428,6.167616729166665e-05
int4_awq,4,256,A,1,530.360152,320.06620000000004,0.7774181103738168,3.224285714285714,706.7142857142857,4.3312745746666664e-05
int4_awq,4,256,A,2,532.5457504285715,319.8030428571428,0.773349814737952,3.2114285714285713,706.7142857142857,4.3491236285e-05
int4_awq,4,256,A,3,524.7109055714285,319.34961428571427,0.7620555155031623,3.224285714285714,706.7142857142857,4.2851390621666666e-05
int4_awq,4,256,B,1,621.6949015714287,283.91468571428567,0.9185454814868773,3.57,688.7142857142857,5.0771750295e-05
int4_awq,4,256,B,2,617.2832998571429,285.5276857142857,0.9097821964764577,3.552857142857143,688.7142857142857,5.041146948833333e-05
int4_awq,4,256,B,3,617.468123,283.85875714285714,0.9081354453801411,3.5685714285714285,688.7142857142857,5.0426563378333325e-05
int4_awq,4,256,C,1,1299.3322574285714,193.1744857142857,1.6898759612743819,5.307142857142857,790.5714285714286,0.00010611213435666666
int4_awq,4,256,C,2,1314.207139857143,192.9853142857143,1.708740247648158,5.314285714285715,790.5714285714286,0.00010732691642166666
int4_awq,4,256,C,3,1316.3382241428571,192.43115714285713,1.7119516379042865,5.352857142857142,790.5714285714286,0.00010750095497166667
int4_awq,4,512,A,1,811.3337001428572,284.992,0.933798117621404,3.6785714285714284,868.2857142857143,6.625891884499999e-05
int4_awq,4,512,A,2,844.1161114285715,281.87074285714283,0.9747970855606269,3.7085714285714286,868.2857142857143,6.89361491e-05
int4_awq,4,512,A,3,817.4536587142857,282.1292142857143,0.9380713777823299,3.7142857142857144,868.2857142857143,6.675871546166666e-05
int4_awq,4,512,B,1,844.8140354285714,260.9003714285714,1.0315663074378298,3.8685714285714283,818.5714285714286,6.899314622666666e-05
int4_awq,4,512,B,2,839.9286035714285,264.82701428571426,1.0266271516183365,3.81,818.5714285714286,6.859416929166666e-05
int4_awq,4,512,B,3,824.2722804285714,263.84847142857143,1.0086070713306672,3.8214285714285716,818.5714285714286,6.731556956833332e-05
int4_awq,4,512,C,1,1996.2707205714287,200.04041428571426,1.6585116464075078,5.305714285714286,1288.857142857143,0.00016302877551333333
int4_awq,4,512,C,2,1973.5574077142858,203.27014285714287,1.6383970947108646,5.224285714285714,1288.857142857143,0.00016117385496333334
int4_awq,4,512,C,3,1996.7725744285713,202.95682857142856,1.6596166290063046,5.228571428571429,1288.857142857143,0.000163069760245
int4_awq,8,64,A,1,181.84613033333335,556.2763,0.38448998681154695,1.8066666666666666,473.0,1.4850767310555557e-05
int4_awq,8,64,A,2,177.07319500000003,575.3178333333334,0.37443201850720675,1.7366666666666666,473.0,1.4460977591666667e-05
int4_awq,8,64,A,3,164.977635,559.3702666666667,0.34863952626656275,1.7866666666666668,473.0,1.3473173524999999e-05
int4_awq,8,64,B,1,375.964451,386.1349333333333,0.734305568359375,2.59,512.0,3.0703763498333336e-05
int4_awq,8,64,B,2,355.27711266666665,385.95239999999995,0.6939006106770833,2.59,512.0,2.9014297534444443e-05
int4_awq,8,64,B,3,368.719214,383.46853333333337,0.72015471484375,2.606666666666667,512.0,3.0112069143333334e-05
int4_awq,8,64,C,1,1519.5094526666664,126.47713333333333,3.0516885117297847,7.919999999999999,498.6666666666667,0.00012409327196777779
int4_awq,8,64,C,2,1508.524375,125.7219,3.029770540419756,7.963333333333334,498.6666666666667,0.00012319615729166667
int4_awq,8,64,C,3,1496.732806,126.0102,3.004707226253531,7.9433333333333325,498.6666666666667,0.00012223317915666665
int4_awq,8,256,A,1,643.487262,591.2845000000001,0.444016181518529,1.6966666666666665,1454.6666666666667,5.255145973e-05
int4_awq,8,256,A,2,624.212676,585.2682333333333,0.43017523005459335,1.71,1454.6666666666667,5.0977368539999994e-05
int4_awq,8,256,A,3,642.3519943333334,585.2221000000001,0.4433146021395977,1.7133333333333336,1454.6666666666667,5.245874620388888e-05
int4_awq,8,256,B,1,862.157706,427.2950666666666,0.6681428224557542,2.356666666666667,1299.3333333333333,7.040954599000001e-05
int4_awq,8,256,B,2,872.0534213333334,421.5333666666667,0.6755013941322181,2.393333333333333,1299.3333333333333,7.121769607555555e-05
int4_awq,8,256,B,3,910.1104776666667,423.43013333333334,0.706544086375049,2.38,1299.3333333333333,7.432568900944443e-05
int4_awq,8,256,C,1,2194.8052336666665,258.2436666666667,1.394726545785261,3.936666666666666,1603.3333333333333,0.0001792424274161111
int4_awq,8,256,C,2,2185.051333,260.4836666666667,1.3916267543661656,3.9033333333333338,1603.3333333333333,0.00017844585886166663
int4_awq,8,256,C,3,2195.311418333333,257.9447333333333,1.3974598321784801,3.9433333333333334,1603.3333333333333,0.00017928376583055554
int4_awq,8,512,A,1,1045.3156310000002,469.95673333333326,0.5799149203740273,2.1666666666666665,1763.0,8.536744319833332e-05
int4_awq,8,512,A,2,1021.746004,471.0300666666667,0.5671981087074016,2.1566666666666667,1763.0,8.344259032666665e-05
int4_awq,8,512,A,3,1022.1170223333334,469.1562333333333,0.5673702204909022,2.1666666666666665,1763.0,8.347289015722221e-05
int4_awq,8,512,B,1,1166.685063,362.7570333333333,0.7941628565515645,2.766666666666667,1486.0,9.527928014499999e-05
int4_awq,8,512,B,2,1174.1290113333332,364.42983333333336,0.7979820027597805,2.7533333333333334,1486.0,9.588720259222221e-05
int4_awq,8,512,B,3,1189.0350446666666,365.3162,0.8097800619397931,2.7466666666666666,1486.0,9.710452864777777e-05
int4_awq,8,512,C,1,3053.7165876666663,295.92963333333336,1.1943888749934573,3.533333333333333,2700.0,0.0002493868546594444
int4_awq,8,512,C,2,3041.4296369999997,296.38509999999997,1.193643396196622,3.5366666666666666,2700.0,0.000248383420355
int4_awq,8,512,C,3,3041.0172476666667,298.22676666666666,1.1935405936005796,3.5066666666666664,2700.0,0.00024834974189277777
int8_w8a16,1,64,A,1,123.97654949999999,97.20522666666668,1.9371335859374998,10.288333333333332,64.0,1.0124751542499999e-05
int8_w8a16,1,64,A,2,123.88044443333334,96.49425,1.9356319442708334,10.366333333333333,64.0,1.0116902962055554e-05
int8_w8a16,1,64,A,3,124.94593903333333,97.35845333333333,1.9522802973958333,10.270666666666667,64.0,1.0203918354388888e-05
int8_w8a16,1,64,B,1,142.86079149999998,86.19182,2.2321998671874996,11.603333333333333,64.0,1.1666964639166666e-05
int8_w8a16,1,64,B,2,142.8328833,85.86646,2.2317638015625,11.646666666666667,64.0,1.16646854695e-05
int8_w8a16,1,64,B,3,142.96562083333336,86.29935333333333,2.2338378255208338,11.589333333333334,64.0,1.1675525701388888e-05
int8_w8a16,1,64,C,1,241.74939626666668,58.507643333333334,3.777334316666667,17.092333333333332,64.0,1.9742867361777777e-05
int8_w8a16,1,64,C,2,239.28097336666667,58.49935,3.7387652088541667,17.094,64.0,1.954127949161111e-05
int8_w8a16,1,64,C,3,243.96760793333334,57.099900000000005,3.8119938739583334,17.579666666666665,64.0,1.9924021314555553e-05
int8_w8a16,1,256,A,1,619.4039494333333,106.82085000000001,2.4195466774739582,9.362666666666666,256.0,5.0584655870388885e-05
int8_w8a16,1,256,A,2,609.9730227,106.76891,2.382707119921875,9.365333333333332,256.0,4.98144635205e-05
int8_w8a16,1,256,A,3,608.2827758,107.08362000000001,2.37610459296875,9.339666666666666,256.0,4.967642669033333e-05
int8_w8a16,1,256,B,1,653.4510422666666,101.32179,2.5525431338541664,9.877333333333333,256.0,5.3365168451777776e-05
int8_w8a16,1,256,B,2,647.6550652999999,103.06448666666667,2.5299025988281247,9.704333333333333,256.0,5.289183033283333e-05
int8_w8a16,1,256,B,3,655.6332934999999,103.01978000000001,2.5610675527343747,9.707333333333333,256.0,5.354338563583333e-05
int8_w8a16,1,256,C,1,834.6956877666667,84.96432333333334,3.2605300303385416,11.776666666666667,256.0,6.816681450094444e-05
int8_w8a16,1,256,C,2,826.1843104333333,87.47913333333332,3.227282462630208,11.432333333333334,256.0,6.747171868538889e-05
int8_w8a16,1,256,C,3,823.5175110333333,87.25680000000001,3.2168652774739583,11.463333333333333,256.0,6.725393006772222e-05
int8_w8a16,1,512,A,1,1343.2300518333332,108.67992666666667,2.623496194986979,9.201333333333334,512.0,0.00010969712089972222
int8_w8a16,1,512,A,2,1341.0717747666667,108.68755,2.619280810091146,9.200999999999999,512.0,0.00010952086160594444
int8_w8a16,1,512,A,3,1337.2525846333333,108.70671999999999,2.611821454361979,9.199333333333334,512.0,0.00010920896107838889
int8_w8a16,1,512,B,1,1376.8554980333333,106.44197666666668,2.689170894596354,9.395333333333333,512.0,0.00011244319900605555
int8_w8a16,1,512,B,2,1372.7732168333334,106.57719333333333,2.6811976891276044,9.383333333333333,512.0,0.00011210981270805555
int8_w8a16,1,512,B,3,1381.5942356333333,106.50752666666668,2.698426241471354,9.389999999999999,512.0,0.00011283019591005554
int8_w8a16,1,512,C,1,1579.4469661,94.98273999999999,3.0848573556640626,10.528666666666668,512.0,0.00012898816889816666
int8_w8a16,1,512,C,2,1580.8510692333334,95.01130333333334,3.0875997445963543,10.525666666666666,512.0,0.00012910283732072222
int8_w8a16,1,512,C,3,1578.9698295333333,95.00617000000001,3.0839254483072915,10.525333333333332,512.0,0.0001289492027452222
int8_w8a16,4,64,A,1,641.3919222857143,109.26311428571428,2.5054371964285713,9.151428571428571,256.0,5.2380340319999994e-05
int8_w8a16,4,64,A,2,637.0815622857143,109.42232857142858,2.4885998526785715,9.138571428571428,256.0,5.202832758666666e-05
int8_w8a16,4,64,A,3,647.3052747142857,109.13491428571429,2.5285362293526785,9.162857142857144,256.0,5.286326410166666e-05
int8_w8a16,4,64,B,1,750.3677710000001,95.48634285714286,2.9311241054687502,10.475714285714286,256.0,6.128003463166666e-05
int8_w8a16,4,64,B,2,761.7568578571429,96.21905714285715,2.9756127260044645,10.392857142857142,256.0,6.221014339166667e-05
int8_w8a16,4,64,B,3,763.0967701428572,92.84637142857143,2.980846758370536,10.775714285714287,256.0,6.231956956166665e-05
int8_w8a16,4,64,C,1,1335.7507535714285,61.568357142857145,5.217776381138393,16.24142857142857,256.0,0.00010908631154166667
int8_w8a16,4,64,C,2,1327.7012184285716,61.39287142857143,5.186332884486608,16.291428571428572,256.0,0.00010842893283833332
int8_w8a16,4,64,C,3,1338.190543142857,61.62522857142857,5.227306809151785,16.22714285714286,256.0,0.00010928556102333333
int8_w8a16,4,256,A,1,2803.58261,113.9047,2.737873642578125,8.777142857142858,1024.0,0.0002289592464833333
int8_w8a16,4,256,A,2,2814.214234,114.05144285714286,2.748256087890625,8.768571428571429,1024.0,0.00022982749577666665
int8_w8a16,4,256,A,3,2814.8399608571426,114.0059,2.7488671492745533,8.77142857142857,1024.0,0.00022987859680333333
int8_w8a16,4,256,B,1,2943.059396,108.72757142857144,2.87408144140625,9.195714285714287,1024.0,0.00024034985067333331
int8_w8a16,4,256,B,2,2954.940502,108.27447142857143,2.885684083984375,9.235714285714286,1024.0,0.00024132014099666663
int8_w8a16,4,256,B,3,2951.822110714286,108.42555714285713,2.8826387799944198,9.224285714285715,1024.0,0.00024106547237499998
int8_w8a16,4,256,C,1,3649.7193384285715,90.85945714285715,3.564179041434152,11.005714285714285,1024.0,0.00029806041263833334
int8_w8a16,4,256,C,2,3650.524771142857,90.79899999999999,3.5649655968191962,11.012857142857143,1024.0,0.00029812618964333333
int8_w8a16,4,256,C,3,3662.030034857143,90.5799,3.576201205915179,11.040000000000001,1024.0,0.00029906578617999995
int8_w8a16,4,512,A,1,5743.580276857143,114.38294285714287,2.804482557059152,8.744285714285715,2048.0,0.00046905905594333327
int8_w8a16,4,512,A,2,5719.660317857143,114.50022857142858,2.792802889578683,8.734285714285715,2048.0,0.00046710559262499996
int8_w8a16,4,512,A,3,5729.887068999999,114.46877142857143,2.797796420410156,8.735714285714286,2048.0,0.00046794077730166663
int8_w8a16,4,512,B,1,5908.501795142857,110.49847142857142,2.8850106421595982,9.051428571428572,2048.0,0.00048252764660333333
int8_w8a16,4,512,B,2,5940.428667857143,109.67887142857141,2.900599935477121,9.117142857142857,2048.0,0.00048513500787499995
int8_w8a16,4,512,B,3,5925.541340571429,110.25667142857142,2.893330732700893,9.07,2048.0,0.00048391920948
int8_w8a16,4,512,C,1,6800.372361285714,98.30492857142858,3.32049431703404,10.171428571428573,2048.0,0.0005553637428383333
int8_w8a16,4,512,C,2,6821.430237571428,95.61524285714286,3.3307764831891737,10.459999999999999,2048.0,0.0005570834694016666
int8_w8a16,4,512,C,3,6807.2964975714285,98.09478571428572,3.323875242954799,10.195714285714287,2048.0,0.0005559292139683333
int8_w8a16,8,64,A,1,645.1168120000001,206.23839999999998,1.2599937734375002,4.8500000000000005,512.0,5.268453964666666e-05
int8_w8a16,8,64,A,2,681.2617960000001,206.16219999999998,1.3305894453125002,4.8500000000000005,512.0,5.563638000666667e-05
int8_w8a16,8,64,A,3,683.2562160000001,206.85986666666668,1.3344847968750002,4.836666666666667,512.0,5.579925764e-05
int8_w8a16,8,64,B,1,932.50834,161.76243333333332,1.8213053515625,6.18,512.0,7.615484776666666e-05
int8_w8a16,8,64,B,2,916.7203556666667,165.73153333333335,1.7904694446614584,6.033333333333334,512.0,7.486549571277777e-05
int8_w8a16,8,64,B,3,928.1717846666667,165.2411666666667,1.8128355169270833,6.053333333333334,512.0,7.580069574777778e-05
int8_w8a16,8,64,C,1,2119.3136403333333,83.57973333333332,4.139284453776042,11.963333333333333,512.0,0.0001730772806272222
