run_id,config_key,vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,vi4_mean_input_tokens,repetition,batch_index,batch_total,batch_actual_size,status,energy_j,duration_s,avg_power_w,peak_power_w,vram_peak_mb,vram_used_start_mb,prompt_tokens,completion_tokens,throughput_tok_s,j_per_token,tpot_ms,j_per_token_calc,tok_per_j,gco2eq,nvml_sample_count,nvml_available
fp16_b1_o256_caseB_rep1_batch26of30_1780337969,fp16_b1_o256_caseB_rep1,fp16,1,256,B,893,1,26,30,1,success,1262.670526,4.6452,224.13,297.06,23516.3,23516.3,893,256,55.1103,4.932307,18.15,4.9323067421875,0.2027448924550251,0.10311809295666667,57,True
fp16_b1_o64_caseA_rep3_batch20of30_1780345667,fp16_b1_o64_caseA_rep3,fp16,1,64,A,235,3,20,30,1,success,215.875251,1.1749,104.86,249.49,23516.3,23516.3,235,64,54.4736,3.373051,18.36,3.373050796875,0.29646751864112486,0.017629812165,22,True
fp16_b8_o512_caseB_rep3_batch3of4_1780339246,fp16_b8_o512_caseB_rep3,fp16,8,512,B,894,3,3,4,8,success,2791.047385,10.0876,252.76,315.95,23516.3,23516.3,7155,1704,168.9209,1.637939,5.92,1.6379386062206571,0.6105234934948982,0.22793553644166664,111,True
fp16_b1_o256_caseA_rep1_batch11of30_1780349076,fp16_b1_o256_caseA_rep1,fp16,1,256,A,235,1,11,30,1,success,130.10908,0.6845,81.93,133.31,23516.3,23516.3,235,36,52.5967,3.614141,19.01,3.6141411111111115,0.2766909119640228,0.010625574866666668,17,True
fp16_b4_o512_caseC_rep3_batch3of8_1780338227,fp16_b4_o512_caseC_rep3,fp16,4,512,C,3793,3,3,8,4,success,3239.239963,11.5757,258.12,420.12,23516.3,23516.3,15174,1590,137.3562,2.037258,7.28,2.0372578383647797,0.4908558853810362,0.26453793031166667,126,True
fp16_b1_o512_caseA_rep3_batch19of30_1780343708,fp16_b1_o512_caseA_rep3,fp16,1,512,A,230,3,19,30,1,success,2573.248682,9.0914,256.19,295.9,23516.3,23516.3,230,512,56.3171,5.025876,17.76,5.02587633203125,0.19897027581572857,0.2101486423633333,101,True
fp16_b1_o64_caseA_rep3_batch1of30_1780345529,fp16_b1_o64_caseA_rep3,fp16,1,64,A,232,3,1,30,1,success,268.917045,1.2045,123.83,275.63,23516.3,23516.3,232,64,53.1324,4.201829,18.82,4.201828828125,0.23799160815559314,0.021961558675,23,True
fp16_b1_o64_caseB_rep1_batch14of30_1780358560,fp16_b1_o64_caseB_rep1,fp16,1,64,B,897,1,14,30,1,success,280.495848,1.2683,129.21,289.72,23516.3,23516.3,897,64,50.4623,4.382748,19.82,4.382747625,0.22816737023501324,0.02290716092,23,True
fp16_b4_o256_caseC_rep1_batch7of8_1780347103,fp16_b4_o256_caseC_rep1,fp16,4,256,C,3795,1,7,8,4,success,1900.128781,6.6875,248.35,420.01,23516.3,23516.3,15180,808,120.8224,2.351645,8.28,2.351644530940594,0.42523433573526825,0.15517718378166667,77,True
fp16_b4_o512_caseB_rep1_batch3of8_1780350942,fp16_b4_o512_caseB_rep1,fp16,4,512,B,883,1,3,8,4,success,882.28466,3.6874,190.51,273.35,23516.3,23516.3,3535,565,153.226,1.561566,6.53,1.5615657699115044,0.6403828895767042,0.07205324723333333,47,True
fp16_b1_o256_caseC_rep3_batch27of30_1780357722,fp16_b1_o256_caseC_rep3,fp16,1,256,C,3796,3,27,30,1,success,638.424584,2.6614,176.0,318.61,23516.3,23516.3,3796,104,39.0778,6.138698,25.59,6.138697923076923,0.1629009950531604,0.05213800769333332,37,True
fp16_b1_o256_caseB_rep2_batch18of30_1780357181,fp16_b1_o256_caseB_rep2,fp16,1,256,B,895,2,18,30,1,success,786.779432,3.0381,195.29,294.4,23516.3,23516.3,895,165,54.3096,4.76836,18.41,4.768360193939394,0.2097157008547727,0.06425365361333334,41,True
fp16_b1_o256_caseB_rep3_batch1of30_1780358828,fp16_b1_o256_caseB_rep3,fp16,1,256,B,892,3,1,30,1,success,1289.957594,4.7767,224.7,295.81,23516.3,23516.3,892,256,53.5936,5.038897,18.66,5.0388968515625,0.19845613622551378,0.10534653684333332,58,True
fp16_b8_o512_caseB_rep1_batch3of4_1780351856,fp16_b8_o512_caseB_rep1,fp16,8,512,B,894,1,3,4,8,success,2791.912527,10.5119,243.65,326.83,23516.3,23516.3,7155,1704,162.1019,1.638446,6.17,1.6384463186619718,0.6103343079415897,0.228006189705,115,True
fp16_b1_o512_caseC_rep1_batch20of30_1780347529,fp16_b1_o512_caseC_rep1,fp16,1,512,C,3791,1,20,30,1,success,2872.766397,9.9606,262.44,300.19,23516.3,23516.3,3791,512,51.4026,5.610872,19.45,5.610871869140625,0.1782254208120355,0.234609255755,110,True
fp16_b1_o256_caseC_rep2_batch28of30_1780346173,fp16_b1_o256_caseC_rep2,fp16,1,256,C,3795,2,28,30,1,success,1429.818044,5.0671,236.71,314.34,23516.3,23516.3,3795,256,50.522,5.585227,19.79,5.585226734375,0.17904376089969107,0.11676847359333334,61,True
fp16_b4_o64_caseC_rep2_batch7of8_1780353324,fp16_b4_o64_caseC_rep2,fp16,4,64,C,3795,2,7,8,4,success,794.788587,2.8005,212.88,416.58,23516.3,23516.3,15180,256,91.4116,3.104643,10.94,3.10464291796875,0.3220982336526682,0.06490773460499999,38,True
fp16_b8_o64_caseC_rep1_batch3of4_1780350296,fp16_b8_o64_caseC_rep1,fp16,8,64,C,3792,1,3,4,8,success,1566.58479,4.5321,282.0,420.56,23905.6,23516.3,30340,512,112.9724,3.059736,8.85,3.05973591796875,0.3268255910999876,0.12793775785,56,True
fp16_b1_o256_caseA_rep2_batch16of30_1780350613,fp16_b1_o256_caseA_rep2,fp16,1,256,A,237,2,16,30,1,success,1279.261302,4.7487,223.16,287.14,23516.3,23516.3,237,256,53.91,4.997114,18.55,4.9971144609375,0.2001154882116492,0.10447300632999999,58,True
fp16_b4_o64_caseC_rep2_batch5of8_1780353306,fp16_b4_o64_caseC_rep2,fp16,4,64,C,3793,2,5,8,4,success,868.286497,2.8311,225.74,398.72,23516.3,23516.3,15174,256,90.425,3.391744,11.06,3.39174412890625,0.2948335611396707,0.07091006392166667,39,True
fp16_b1_o64_caseC_rep1_batch4of30_1780348167,fp16_b1_o64_caseC_rep1,fp16,1,64,C,3796,1,4,30,1,success,415.543913,1.6159,158.38,292.14,23516.3,23516.3,3796,64,39.6052,6.492874,25.25,6.492873640625,0.15401501020182193,0.033936086228333336,27,True
fp16_b1_o256_caseA_rep1_batch12of30_1780349083,fp16_b1_o256_caseA_rep1,fp16,1,256,A,234,1,12,30,1,success,1226.060615,4.7056,217.16,293.77,23516.3,23516.3,234,256,54.4038,4.789299,18.38,4.78929927734375,0.20879881212072046,0.10012828355833334,57,True
fp16_b1_o512_caseB_rep1_batch7of30_1780349711,fp16_b1_o512_caseB_rep1,fp16,1,512,B,886,1,7,30,1,success,320.950732,1.4217,133.79,280.09,23516.3,23516.3,886,71,49.9386,4.520433,20.02,4.520432845070423,0.22121775375791944,0.026210976446666666,25,True
fp16_b1_o512_caseA_rep3_batch14of30_1780343650,fp16_b1_o512_caseA_rep3,fp16,1,512,A,235,3,14,30,1,success,2587.007885,9.0807,257.45,297.44,23516.3,23516.3,235,512,56.3832,5.05275,17.74,5.052749775390625,0.19791203690127138,0.21127231060833332,101,True
fp16_b1_o64_caseC_rep2_batch8of30_1780345034,fp16_b1_o64_caseC_rep2,fp16,1,64,C,3792,2,8,30,1,success,348.245407,1.5624,139.3,311.38,23516.3,23516.3,3792,64,40.9631,5.441334,24.41,5.441334484375,0.18377844678939298,0.028440041571666668,26,True
fp16_b4_o256_caseB_rep2_batch3of8_1780344791,fp16_b4_o256_caseB_rep2,fp16,4,256,B,883,2,3,8,4,success,888.564923,3.5756,196.32,283.81,23516.3,23516.3,3535,565,158.0153,1.572681,6.33,1.5726812796460177,0.6358567453826893,0.07256613537833334,46,True
fp16_b1_o512_caseB_rep1_batch14of30_1780349770,fp16_b1_o512_caseB_rep1,fp16,1,512,B,897,1,14,30,1,success,541.411878,2.1614,174.28,294.36,23516.3,23516.3,897,115,53.2063,4.707929,18.79,4.707929373913044,0.2124076044005817,0.04421530337,32,True
fp16_b1_o512_caseB_rep1_batch19of30_1780349813,fp16_b1_o512_caseB_rep1,fp16,1,512,B,896,1,19,30,1,success,822.212649,3.0876,204.55,294.9,23516.3,23516.3,896,168,54.4112,4.894123,18.38,4.894122910714286,0.20432670332222047,0.067147366335,41,True
fp16_b1_o512_caseB_rep3_batch2of30_1780340143,fp16_b1_o512_caseB_rep3,fp16,1,512,B,878,3,2,30,1,success,1140.000527,4.2119,217.87,297.6,23516.3,23516.3,878,231,54.8447,4.935067,18.23,4.935067216450216,0.20263148527474323,0.09310004303833333,53,True
fp16_b1_o512_caseA_rep2_batch6of30_1780343236,fp16_b1_o512_caseA_rep2,fp16,1,512,A,231,2,6,30,1,success,1255.91006,4.6611,222.74,296.63,23516.3,23516.3,231,262,56.2102,4.79355,17.79,4.793549847328244,0.20861366458040795,0.10256598823333332,57,True
fp16_b1_o64_caseB_rep2_batch13of30_1780355940,fp16_b1_o64_caseB_rep2,fp16,1,64,B,885,2,13,30,1,success,290.090988,1.3737,126.36,236.08,23516.3,23516.3,885,64,46.5901,4.532672,21.46,4.5326716875,0.22062043513051155,0.023690764019999998,24,True
fp16_b1_o512_caseC_rep3_batch6of30_1780352829,fp16_b1_o512_caseC_rep3,fp16,1,512,C,3793,3,6,30,1,success,899.825477,3.3502,208.24,312.84,23516.3,23516.3,3793,163,48.6536,5.520402,20.55,5.520401699386503,0.18114623798321283,0.07348574728833332,44,True
fp16_b1_o64_caseB_rep3_batch20of30_1780347935,fp16_b1_o64_caseB_rep3,fp16,1,64,B,888,3,20,30,1,success,289.117807,1.289,132.39,260.43,23516.3,23516.3,888,64,49.6508,4.517466,20.14,4.517465734375,0.2213630514982427,0.023611287571666667,23,True
fp16_b8_o64_caseB_rep2_batch1of4_1780343970,fp16_b8_o64_caseB_rep2,fp16,8,64,B,883,2,1,4,8,success,535.359962,1.9155,182.74,340.67,23516.3,23516.3,7071,512,267.2938,1.045625,3.74,1.04562492578125,0.9563658778054083,0.04372106356333333,30,True
fp16_b1_o64_caseC_rep3_batch4of30_1780338482,fp16_b1_o64_caseC_rep3,fp16,1,64,C,3796,3,4,30,1,success,380.824374,1.5618,152.62,321.99,23516.3,23516.3,3796,64,40.9781,5.950381,24.4,5.95038084375,0.16805647004096436,0.03110065721,26,True
fp16_b4_o64_caseC_rep2_batch1of8_1780353270,fp16_b4_o64_caseC_rep2,fp16,4,64,C,3793,2,1,8,4,success,894.676399,2.8128,232.26,404.72,23516.3,23516.3,15175,256,91.0116,3.49483,10.99,3.49482968359375,0.28613697677298405,0.07306523925166665,39,True
fp16_b1_o512_caseC_rep2_batch9of30_1780354334,fp16_b1_o512_caseC_rep2,fp16,1,512,C,3794,2,9,30,1,success,2800.175889,9.6936,263.05,314.82,23516.3,23516.3,3794,512,52.8182,5.469094,18.93,5.469093533203125,0.1828456569500874,0.228681030935,107,True
fp16_b1_o512_caseB_rep2_batch20of30_1780346754,fp16_b1_o512_caseB_rep2,fp16,1,512,B,888,2,20,30,1,success,777.02217,3.0573,192.85,295.84,23516.3,23516.3,888,166,54.2961,4.680856,18.42,4.6808564457831325,0.21363611800162666,0.06345681055,41,True
fp16_b1_o256_caseB_rep1_batch22of30_1780337929,fp16_b1_o256_caseB_rep1,fp16,1,256,B,894,1,22,30,1,success,459.437582,1.9994,158.73,294.13,23516.3,23516.3,894,106,53.0147,4.334317,18.86,4.334316811320755,0.23071686808590247,0.037520735863333335,30,True
fp16_b1_o256_caseC_rep1_batch26of30_1780336795,fp16_b1_o256_caseC_rep1,fp16,1,256,C,3797,1,26,30,1,success,1404.909806,5.4735,223.31,293.08,23489.6,23100.3,3797,256,46.7705,5.487929,21.38,5.4879289296875,0.18221810318832668,0.11473430082333333,61,True
fp16_b4_o256_caseB_rep1_batch3of8_1780342314,fp16_b4_o256_caseB_rep1,fp16,4,256,B,883,1,3,8,4,success,882.489769,3.667,190.72,266.88,23516.3,23516.3,3535,565,154.0777,1.561929,6.49,1.5619287946902656,0.6402340512573126,0.07206999780166666,47,True
fp16_b1_o64_caseC_rep3_batch6of30_1780338498,fp16_b1_o64_caseC_rep3,fp16,1,64,C,3793,3,6,30,1,success,354.683774,1.5672,141.71,310.48,23516.3,23516.3,3793,64,40.8367,5.541934,24.49,5.54193396875,0.1804424241860018,0.028965841543333332,26,True
fp16_b1_o64_caseA_rep2_batch2of30_1780341516,fp16_b1_o64_caseA_rep2,fp16,1,64,A,236,2,2,30,1,success,248.132574,1.1918,120.09,275.88,23516.3,23516.3,236,64,53.6987,3.877071,18.62,3.87707146875,0.2579266356218108,0.02026416021,22,True
fp16_b1_o64_caseA_rep3_batch12of30_1780345609,fp16_b1_o64_caseA_rep3,fp16,1,64,A,234,3,12,30,1,success,272.21009,1.2651,123.8,272.37,23516.3,23516.3,234,64,50.5882,4.253283,19.77,4.25328265625,0.2351125191575375,0.02223049068333333,23,True
fp16_b4_o256_caseC_rep2_batch4of8_1780340953,fp16_b4_o256_caseC_rep2,fp16,4,256,C,3793,2,4,8,4,success,1850.140894,6.4769,248.37,406.2,23516.3,23516.3,15173,726,112.0911,2.548403,8.92,2.548403435261708,0.39240254747863546,0.15109483967666665,75,True
fp16_b1_o256_caseC_rep2_batch16of30_1780346045,fp16_b1_o256_caseC_rep2,fp16,1,256,C,3794,2,16,30,1,success,1425.476799,5.0491,236.12,319.68,23516.3,23516.3,3794,256,50.7021,5.568269,19.72,5.56826874609375,0.17958903307271576,0.11641393858499999,61,True
fp16_b4_o256_caseB_rep3_batch1of8_1780353741,fp16_b4_o256_caseB_rep3,fp16,4,256,B,881,3,1,8,4,success,1277.893095,5.1321,208.17,268.7,23516.3,23516.3,3525,821,159.9727,1.556508,6.25,1.5565080328867233,0.6424637578936132,0.104361269425,62,True
fp16_b1_o512_caseA_rep1_batch17of30_1780342697,fp16_b1_o512_caseA_rep1,fp16,1,512,A,230,1,17,30,1,success,1014.827689,3.8789,210.43,294.74,23516.3,23516.3,230,216,55.6865,4.698276,17.96,4.698276337962962,0.21284401513802212,0.08287759460166666,49,True
fp16_b4_o64_caseB_rep2_batch4of8_1780358095,fp16_b4_o64_caseB_rep2,fp16,4,64,B,892,2,4,8,4,success,360.252223,1.6025,144.26,276.87,23516.3,23516.3,3570,256,159.7464,1.407235,6.26,1.40723524609375,0.7106132416565268,0.029420598211666666,26,True
fp16_b4_o512_caseC_rep2_batch5of8_1780337343,fp16_b4_o512_caseC_rep2,fp16,4,512,C,3793,2,5,8,4,success,3242.117445,11.6797,256.33,411.78,23516.3,23516.3,15174,1633,139.8153,1.985375,7.15,1.985375042865891,0.5036831724027814,0.26477292467499997,127,True
fp16_b4_o64_caseA_rep3_batch5of8_1780355164,fp16_b4_o64_caseA_rep3,fp16,4,64,A,232,3,5,8,4,success,271.830139,1.2698,124.14,228.74,23516.3,23516.3,930,256,201.6097,1.061836,4.96,1.06183648046875,0.9417645921889479,0.022199461351666665,23,True
fp16_b4_o256_caseC_rep2_batch5of8_1780340966,fp16_b4_o256_caseC_rep2,fp16,4,256,C,3793,2,5,8,4,success,1892.123748,6.5976,250.83,414.81,23516.3,23516.3,15174,865,131.1077,2.187426,7.63,2.187426298265896,0.45715825982011826,0.15452343941999996,76,True
fp16_b1_o64_caseA_rep3_batch6of30_1780345565,fp16_b1_o64_caseA_rep3,fp16,1,64,A,231,3,6,30,1,success,246.279784,1.1875,119.44,282.3,23516.3,23516.3,231,64,53.8957,3.848122,18.55,3.848121625,0.25986704617216977,0.020112849026666667,22,True
fp16_b1_o512_caseC_rep1_batch13of30_1780347443,fp16_b1_o512_caseC_rep1,fp16,1,512,C,3791,1,13,30,1,success,482.593074,1.9215,165.37,303.94,23516.3,23516.3,3791,78,40.5926,6.187091,24.64,6.1870906923076925,0.1616268533518158,0.039411767710000004,30,True
fp16_b1_o256_caseB_rep3_batch23of30_1780359020,fp16_b1_o256_caseB_rep3,fp16,1,256,B,887,3,23,30,1,success,1296.825304,4.6636,230.32,294.7,23516.3,23516.3,887,256,54.8926,5.065724,18.22,5.06572384375,0.19740515488892713,0.10590739982666666,57,True
fp16_b4_o256_caseA_rep2_batch1of8_1780352034,fp16_b4_o256_caseA_rep2,fp16,4,256,A,235,2,1,8,4,success,1196.109446,4.9591,201.1,256.56,23516.3,23516.3,940,974,196.4059,1.228038,5.09,1.2280384455852156,0.8143067536647479,0.09768227142333331,60,True
fp16_b1_o512_caseC_rep1_batch8of30_1780347376,fp16_b1_o512_caseC_rep1,fp16,1,512,C,3792,1,8,30,1,success,1329.152452,4.7229,231.83,323.85,23516.3,23516.3,3792,234,49.5458,5.680139,20.18,5.680138683760684,0.17605203951427537,0.10854745024666666,58,True
fp16_b4_o256_caseC_rep2_batch3of8_1780340941,fp16_b4_o256_caseC_rep2,fp16,4,256,C,3793,2,3,8,4,success,1885.887641,6.6288,246.49,418.83,23516.3,23516.3,15174,966,145.7274,1.952265,6.86,1.9522646387163562,0.5122256379429765,0.15401415734833332,77,True
fp16_b8_o512_caseA_rep1_batch1of4_1780355399,fp16_b8_o512_caseA_rep1,fp16,8,512,A,233,1,1,4,8,success,1426.074695,5.6108,214.5,270.94,23516.3,23516.3,1869,1877,334.5314,0.759763,2.99,0.759762757059137,1.3162003411048535,0.11646276675833332,67,True
fp16_b1_o256_caseB_rep2_batch16of30_1780357165,fp16_b1_o256_caseB_rep2,fp16,1,256,B,893,2,16,30,1,success,535.252739,2.192,172.49,291.18,23516.3,23516.3,893,115,52.4636,4.654372,19.06,4.654371643478261,0.21485177304249162,0.043712307018333334,32,True
fp16_b4_o256_caseC_rep1_batch2of8_1780347040,fp16_b4_o256_caseC_rep1,fp16,4,256,C,3794,1,2,8,4,success,1705.996259,6.0987,242.0,415.8,23516.3,23516.3,15176,669,109.6962,2.550069,9.12,2.5500691464872944,0.3921462292022529,0.1393230278183333,71,True
fp16_b4_o512_caseA_rep1_batch3of8_1780353993,fp16_b4_o512_caseA_rep1,fp16,4,512,A,234,1,3,8,4,success,1674.309885,6.7069,219.07,264.08,23516.3,23516.3,937,909,135.5314,1.841925,7.38,1.8419250660066004,0.5429102510494944,0.136735307275,77,True
fp16_b8_o256_caseA_rep2_batch2of4_1780354975,fp16_b8_o256_caseA_rep2,fp16,8,256,A,234,2,2,4,8,success,1271.814382,4.9394,213.96,276.56,23516.3,23516.3,1874,1739,352.067,0.731348,2.84,0.731348120759057,1.3673378950671435,0.10386484119666667,60,True
fp16_b1_o512_caseC_rep2_batch15of30_1780354406,fp16_b1_o512_caseC_rep2,fp16,1,512,C,3795,2,15,30,1,success,2827.262196,9.676,265.61,319.62,23516.3,23516.3,3795,512,52.9146,5.521996,18.9,5.5219964765625,0.18109392214290407,0.23089307934,107,True
fp16_b4_o256_caseB_rep1_batch5of8_1780342333,fp16_b4_o256_caseB_rep1,fp16,4,256,B,894,1,5,8,4,success,867.890638,3.5319,191.53,279.42,23516.3,23516.3,3577,606,171.5813,1.432163,5.83,1.4321627689768976,0.6982446560277333,0.07087773543666666,46,True
fp16_b4_o256_caseB_rep3_batch4of8_1780353771,fp16_b4_o256_caseB_rep3,fp16,4,256,B,892,3,4,8,4,success,806.227579,3.2542,191.17,286.62,23516.3,23516.3,3570,483,148.4239,1.669208,6.74,1.669208238095238,0.5990864274316768,0.06584191895166668,43,True
fp16_b1_o512_caseC_rep3_batch24of30_1780353057,fp16_b1_o512_caseC_rep3,fp16,1,512,C,3794,3,24,30,1,success,2829.416126,9.717,263.04,299.1,23516.3,23516.3,3794,512,52.6914,5.526203,18.98,5.52620337109375,0.18095606202818396,0.2310689836233333,108,True
fp16_b1_o256_caseB_rep1_batch11of30_1780337834,fp16_b1_o256_caseB_rep1,fp16,1,256,B,872,1,11,30,1,success,669.211922,2.6808,185.24,296.23,23516.3,23516.3,872,145,54.0883,4.615255,18.49,4.615254634482758,0.21667276871974198,0.05465230696333332,37,True
